ii,dv,comp1,comp2,comp3,comp4,comp5,comp6,fracao_fiscal
3417451,6,BOX,"1,2",PAV,65,,,"0,09364"
3417452,4,BOX,3,PAV,65,,,"0,057701"
3417453,2,BOX,4 A 7,PAV,65,,,"0,207835"
3417454,0,BOX,8 A 10,PAV,65,,,"0,186994"
3417455,7,BOX,11 A 13,PAV,65,,,"0,155039"
3417456,5,BOX,14,PAV,65,,,"0,0529"
3417457,3,BOX,15,PAV,65,,,"0,046036"
3417458,1,BOX,16,PAV,65,,,"0,046036"
3417459,9,BOX,17 A,PAV,65,,,"0,049369"
3417460,7,BOX,17 B,PAV,65,,,"0,066117"
3417461,5,BOX,18,PAV,65,,,"0,038328"
1978993,2,,,,,,,1
3417462,3,BOX,K,PAV,72,,,"0,358533"
3417463,1,BOX,J,PAV,72,,,"0,147263"
3417464,9,BOX,1,PAV,72,,,"0,203527"
3417465,6,BOX,2,PAV,72,,,"0,048378"
3417466,4,BOX,3,PAV,72,,,"0,054164"
3417467,2,BOX,4,PAV,72,,,"0,188131"
3417468,0,BOX,1 A 4,PAV,73,,,"0,210339"
3417469,8,BOX,5,PAV,73,,,"0,009394"
3417470,6,BOX,6,PAV,73,,,"0,07627"
3417471,4,BOX,"7,8",PAV,73,,,"0,281719"
3417472,2,BOX,9 A 16,PAV,73,,,"0,422276"
3417473,0,BOX,1,PAV,74,,,"0,170491"
3417474,8,BOX,2,PAV,74,,,"0,019484"
3417475,5,BOX,3,PAV,74,,,"0,027765"
3417476,3,BOX,4,PAV,74,,,"0,120787"
3417477,1,BOX,5,PAV,74,,,"0,02192"
3417478,9,BOX,6,PAV,74,,,"0,109601"
3417479,7,BOX,7,PAV,74,,,"0,062629"
3417480,5,BOX,"8,9",PAV,74,,,"0,042013"
3417481,3,BOX,10,PAV,74,,,"0,019623"
3417482,1,BOX,11,PAV,74,,,"0,028705"
3417483,9,BOX,12,PAV,74,,,"0,02827"
3417484,7,BOX,"13,14",PAV,74,,,"0,080896"
3417485,4,BOX,"16 A,B",PAV,74,,,"0,079828"
3417486,2,BOX,"16 C,D",PAV,74,,,"0,138327"
3417487,0,BOX,16 E,PAV,74,,,"0,049654"
3417488,8,BOX,1,PAV,75,,,"0,183615"
3417489,6,BOX,2,PAV,75,,,"0,183615"
3417490,4,BOX,3,PAV,75,,,"0,355619"
3417491,2,BOX,5,PAV,75,,,"0,024641"
3417492,0,BOX,6,PAV,75,,,"0,151299"
3417493,8,BOX,7,PAV,75,,,"0,044288"
3417494,6,BOX,15,PAV,75,,,"0,05692"
3417495,3,BOX,1,PAV,76,,,"0,124066"
3417496,1,BOX,2,PAV,76,,,"0,256016"
3417497,9,BOX,4,PAV,76,,,"0,203701"
3417498,7,BOX,5,PAV,76,,,"0,197586"
3417499,5,BOX,6,PAV,76,,,"0,063325"
3417500,0,BOX,7,PAV,76,,,"0,027294"
3417501,8,BOX,20,PAV,76,,,"0,128008"
3417502,6,BOX,1,PAV,77,,,"0,134327"
3417503,4,BOX,2,PAV,77,,,"0,083117"
3417504,2,BOX,"3,4",PAV,77,,,"0,43017"
3417505,9,BOX,5,PAV,77,,,"0,118692"
3417506,7,BOX,6,PAV,77,,,"0,187964"
3417507,5,BOX,7,PAV,77,,,"0,045727"
3417508,3,BOX,"1,2",PAV,78,,,"0,311177"
3417509,1,BOX,"3,4",PAV,78,,,"0,269109"
3417510,9,BOX,5,PAV,78,,,"0,118044"
3417511,7,BOX,6,PAV,78,,,"0,108462"
3417512,5,BOX,"7,8",PAV,78,,,"0,193206"
3417513,3,PAV,79,,,,,1
3417516,6,PAV,100,,,,,1
3046781,5,PAV,200,,,,,1
3417517,4,PAV,300,,,,,1
3417518,2,PAV,400,,,,,1
3417519,0,PAV,500,,,,,1
3417520,8,PAV,600,,,,,1
3417521,6,PAV,700,,,,,1
3417523,2,PAV,800,,,,,1
3417524,0,PAV,900-1,,,,,"0,363705"
3417525,7,PAV,900-2,,,,,"0,636294"
